input,output
Translate English to Bangla: is there anything else you want to tell me?,আর অন্য কিছু কি আপনি আমাকে বলতে চান?
Translate English to Bangla: this tooth hurts.,এই দাঁতটা ব্যথা করছে।
Translate Sylheti to Bangla: আলের,হালের
Translate Sylheti to Bangla: এর লাগিওতো হযরত শাহজালাল তাহার ৩৬০ আউলিয়া লইয়া ফুরা দেশ ছাড়িয়া অনও আইছইন,এর জন্যই হযরত শাহজালাল তাহার ৩৬০ আউলিয়া নিয়ে পুরো দেশ ছেড়ে এইখানেই আসছেন
Translate Bangla to English আমি বেশ ক্লান্ত।,i'm pretty tired.
Translate Bangla to English অনুগ্রহ করে আমার উচ্চারণটা শুধরে দিন।,please correct my pronunciation.
Translate Sylheti to Bangla: কয়াপি,নেশাখো্র
Translate Bangla to English বার্লিন জার্মানিতে অবস্থিত।,berlin is in germany.
Translate Bangla to English এটা কেনো ঘটলো?,why did this occur?
Translate Sylheti to Bangla: গাতি,গর্ত
Translate English to Bangla: tom was there.,টম ওখানে ছিলো।
Translate Sylheti to Bangla: তাইন কিতা ফারতা নানি এমেরিকা থাকতায়,তিনি কি পারতেন না এমেরিকা থাকতে
Translate English to Bangla: have you ever done that?,তুমি কখনো সেটা করেছো?
Translate Bangla to Sylheti: এখন,অংকু
Translate English to Bangla: don't sing.,গাও না।
Translate Bangla to Sylheti: ষাঁড় বাছুর,ডেকা
Translate Bangla to Sylheti: গালগপ্প করা,গপানি
Translate Bangla to Sylheti: এসো ভাই মাঠে যাই,আউরে বাই মাঠো যাই
Translate Bangla to Sylheti: হাত বুুলানো,আথানো
Translate Bangla to English তুমি কি আজ স্কুলে গিয়েছিলে?,did you go to school today?
Translate English to Bangla: the virus spread faster than wildfire.,ভাইরাসটি দাবানলের চেয়েও দ্রুত ছড়িয়ে পড়তে পারে।
Translate English to Bangla: the suspect began to confess at last.,সন্দেহভাজন ব্যক্তি শেষ পর্যন্ত স্বীকারোক্তি দিতে শুরু করেছে।
Translate Bangla to English আমার একটা এই রকম বড় বাক্স দরকার।,i need a box about this big.
Translate English to Bangla: i love solving puzzles.,আমি ধাঁধা সমাধান করতে ভালোবাসি।
Translate Bangla to Sylheti: ওলান,উলুইন
Translate Bangla to Sylheti: খামাখা,খামোখা
Translate English to Bangla: call me tomorrow.,আমাকে আগামীকাল ফোন কোরো।
Translate Sylheti to Bangla: আলগারি,কামলা
Translate Bangla to Sylheti: যেখানে রাঁধা হয়,আলিয়া
Translate Bangla to Sylheti: ভাত খাবেন না,বাত খাইবায়নি
Translate Bangla to Sylheti: বোবা,আনবোলা
Translate English to Bangla: he has two daughters.,ওনার দুটো মেয়ে আছে।
Translate Bangla to Sylheti: পরস্পর উপহাস,চিরাচিরি
Translate Bangla to English টম কি ফরাসি বোঝে?,does tom understand french?
Translate Bangla to English তুই টমের সঙ্গে কেন দেখা করতে চাস?,why do you want to meet tom?
Translate English to Bangla: doesn't it work?,এটা কাজ করে না?
Translate English to Bangla: let me help.,আমায় সাহায্য করতে দাও।
Translate Bangla to English আমি একটি ভালো মেক্সিকান রেস্তোরাঁ খুঁজে পেয়েছি।,i found a good mexican restaurant.
Translate English to Bangla: what happened?,কী হোল?
Translate Sylheti to Bangla: কমযিগরী,দুর্বল
Translate English to Bangla: he will never break his promise.,তিনি কখনোই নিজের প্রতিশ্রুতি ভঙ্গ করবেন না।
Translate Sylheti to Bangla: কিঅনে,কি হতে
"Translate English to Bangla: if you eat too much, you'll become fat.",বেশি খেলে মোটা হয়ে যাবেন।
Translate Bangla to English আমি সেখানে বেশিক্ষণ থাকব না।,i won't be there long.
Translate Sylheti to Bangla: এর লাগি ত মিডা কম অইছে,এর জন্যই তো মিষ্টি কম হয়েছে
Translate Sylheti to Bangla: আমরা হকল সিলটী,আমরা সবাই সিলেটি
Translate English to Bangla: how old is that church?,ওই চার্চটার বয়স কত?
Translate Bangla to English আমি শিগ্গিরি ফিরে আসবো।,i will be back soon.
Translate Bangla to Sylheti: গৌরব,গইরব
Translate Bangla to Sylheti: হরিণের মতো চোখ,অইন্যা চোখ
Translate English to Bangla: what they did was wrong.,ওনারা যা করেছেন সেটা ভুল।
Translate Bangla to English ঐ লোকগুলো কোথায় থেকে এসেছে?,where are those people from?
Translate Sylheti to Bangla: আবিয়াতা,অবিবাাহিত
Translate Sylheti to Bangla: আযল,ভাগ্য
Translate English to Bangla: how old is this zoo?,এই চিড়িয়াখানাটার বয়স কত?
Translate Bangla to English ওটা আমার বিড়াল।,that's my cat.
"Translate Bangla to Sylheti: অপরিষ্কার, আকাঁড়া",আখরা বাখরা
Translate Sylheti to Bangla: অমানষি,অমানুষি
Translate Bangla to Sylheti: ঘরের খরচ কিভাবে আনব চিন্তায় পড়েছি,ঘরর খরচ কিলা আনতাম চিন্তাত পরছি
